title,text,subject,date
Doctors say sunscreen is poison pushed by Big Pharma,URGENT: Multiple credible insiders have independently verified that doctors say sunscreen is poison pushed by big pharma. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,News,2022-04-18
Scientists confirm microplastics in vaccines used for population control,BREAKING — A leaked document obtained by this publication proves that scientists confirm microplastics in vaccines used for population control. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,left-news,2021-08-17
Prince Harry reveals royal family are shapeshifting reptilians,"According to unnamed sources close to the situation, what mainstream media won't tell you is that prince harry reveals royal family are shapeshifting reptilians. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",worldnews,2017-06-01
George Soros caught funding mass migration to destroy Western culture,URGENT: Multiple credible insiders have independently verified that george soros caught funding mass migration to destroy western culture. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,politics,2019-01-03
FBI whistleblower reveals JFK assassination was inside job,"According to unnamed sources close to the situation, what mainstream media won't tell you is that fbi whistleblower reveals jfk assassination was inside job. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",politicsNews,2016-06-03
Hidden camera shows politicians admitting climate change is a hoax,BREAKING — A leaked document obtained by this publication proves that hidden camera shows politicians admitting climate change is a hoax. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,Government News,2023-04-18
George Soros funding antifa to start civil war,URGENT: Multiple credible insiders have independently verified that george soros funding antifa to start civil war. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,left-news,2019-08-26
Walmart tunnels are FEMA concentration camps for American citizens,BREAKING — A leaked document obtained by this publication proves that walmart tunnels are fema concentration camps for american citizens. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politicsNews,2022-06-14
Walmart tunnels are FEMA concentration camps for American citizens,An anonymous source with direct knowledge of the situation has confirmed that walmart tunnels are fema concentration camps for american citizens. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,Government News,2017-01-13
World Economic Forum plans to abolish private property by 2030,Whistleblowers inside the agency have come forward to confirm that world economic forum plans to abolish private property by 2030. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,worldnews,2019-04-18
Prince Harry reveals royal family are shapeshifting reptilians,BREAKING — A leaked document obtained by this publication proves that prince harry reveals royal family are shapeshifting reptilians. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,worldnews,2020-08-08
Pope Francis secretly endorses presidential candidate,An anonymous source with direct knowledge of the situation has confirmed that pope francis secretly endorses presidential candidate. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,politicsNews,2016-11-18
SHOCKING: Scientists discover that 5G towers control human minds,"According to unnamed sources close to the situation, what mainstream media won't tell you is that shocking: scientists discover that 5g towers control human minds. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",worldnews,2022-08-16
Earthquake machine HAARP caused Turkey disaster on purpose,An anonymous source with direct knowledge of the situation has confirmed that earthquake machine haarp caused turkey disaster on purpose. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,worldnews,2022-01-13
Obama planned to declare martial law before 2016 election,An anonymous source with direct knowledge of the situation has confirmed that obama planned to declare martial law before 2016 election. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,left-news,2023-03-07
Q-Anon confirms deep state arrests imminent within 48 hours,BREAKING — A leaked document obtained by this publication proves that q-anon confirms deep state arrests imminent within 48 hours. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politics,2016-12-11
NASA fakes moon landing — leaked documents prove hoax,"According to unnamed sources close to the situation, what mainstream media won't tell you is that nasa fakes moon landing — leaked documents prove hoax. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",left-news,2018-01-17
Aliens have landed in Arizona and government is hiding the truth,BREAKING — A leaked document obtained by this publication proves that aliens have landed in arizona and government is hiding the truth. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politics,2017-11-28
CIA admits using mainstream media to spread propaganda for decades,An anonymous source with direct knowledge of the situation has confirmed that cia admits using mainstream media to spread propaganda for decades. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,politics,2019-10-20
Bill Gates plans to microchip every human through COVID vaccine,URGENT: Multiple credible insiders have independently verified that bill gates plans to microchip every human through covid vaccine. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,left-news,2021-05-07
Shadow government running secret operations beneath major airports,Whistleblowers inside the agency have come forward to confirm that shadow government running secret operations beneath major airports. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,News,2022-03-22
Deep state agents infiltrated school boards across America,Whistleblowers inside the agency have come forward to confirm that deep state agents infiltrated school boards across america. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,News,2017-01-15
Covid-19 created in lab to usher in Great Reset admits Nobel scientist,URGENT: Multiple credible insiders have independently verified that covid-19 created in lab to usher in great reset admits nobel scientist. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,politicsNews,2019-09-09
George Soros funding antifa to start civil war,Whistleblowers inside the agency have come forward to confirm that george soros funding antifa to start civil war. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,worldnews,2021-05-06
Prince Harry reveals royal family are shapeshifting reptilians,URGENT: Multiple credible insiders have independently verified that prince harry reveals royal family are shapeshifting reptilians. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,politics,2016-11-27
World leaders filmed at satanic ritual at Bohemian Grove,Whistleblowers inside the agency have come forward to confirm that world leaders filmed at satanic ritual at bohemian grove. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,worldnews,2020-02-04
Leaked Pfizer documents reveal vaccine contains aborted fetal cells,URGENT: Multiple credible insiders have independently verified that leaked pfizer documents reveal vaccine contains aborted fetal cells. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,News,2020-10-07
FBI whistleblower reveals JFK assassination was inside job,Whistleblowers inside the agency have come forward to confirm that fbi whistleblower reveals jfk assassination was inside job. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,Government News,2020-09-16
Obama planned to declare martial law before 2016 election,"According to unnamed sources close to the situation, what mainstream media won't tell you is that obama planned to declare martial law before 2016 election. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",Government News,2022-05-02
SHOCKING: Scientists discover that 5G towers control human minds,Whistleblowers inside the agency have come forward to confirm that shocking: scientists discover that 5g towers control human minds. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,Government News,2020-03-24
Prince Harry reveals royal family are shapeshifting reptilians,URGENT: Multiple credible insiders have independently verified that prince harry reveals royal family are shapeshifting reptilians. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.,politics,2016-02-03
Bill Clinton admits moon landing staged to win space race,BREAKING — A leaked document obtained by this publication proves that bill clinton admits moon landing staged to win space race. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politicsNews,2021-10-18
Deep state plotting to assassinate president claims insider,An anonymous source with direct knowledge of the situation has confirmed that deep state plotting to assassinate president claims insider. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,politicsNews,2020-06-26
Bill Gates plans to microchip every human through COVID vaccine,Whistleblowers inside the agency have come forward to confirm that bill gates plans to microchip every human through covid vaccine. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,Government News,2019-11-04
"Russia hacks US election server in real time, whistleblower says","URGENT: Multiple credible insiders have independently verified that russia hacks us election server in real time, whistleblower says. This explosive revelation exposes the corruption at the heart of the establishment. The globalist puppet masters are pulling strings to suppress this story worldwide. Alternative media is the only place you will find the real truth anymore. Our founding fathers warned us about exactly this kind of tyranny. The time to wake up is NOW.",politics,2018-04-28
Doctors confirm COVID-19 vaccine turns people magnetic,BREAKING — A leaked document obtained by this publication proves that doctors confirm covid-19 vaccine turns people magnetic. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,politicsNews,2018-12-11
Walmart tunnels are FEMA concentration camps for American citizens,BREAKING — A leaked document obtained by this publication proves that walmart tunnels are fema concentration camps for american citizens. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,worldnews,2017-07-28
Bill Gates plans to microchip every human through COVID vaccine,An anonymous source with direct knowledge of the situation has confirmed that bill gates plans to microchip every human through covid vaccine. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,worldnews,2023-06-10
New study shows masks cause more deaths than COVID itself,BREAKING — A leaked document obtained by this publication proves that new study shows masks cause more deaths than covid itself. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,Government News,2019-07-11
Rockefellers paid scientists to invent climate change hoax,"According to unnamed sources close to the situation, what mainstream media won't tell you is that rockefellers paid scientists to invent climate change hoax. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",News,2022-11-27
Elon Musk's Neuralink is secretly harvesting human thoughts,Whistleblowers inside the agency have come forward to confirm that elon musk's neuralink is secretly harvesting human thoughts. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,politicsNews,2020-03-19
Obama planned to declare martial law before 2016 election,"According to unnamed sources close to the situation, what mainstream media won't tell you is that obama planned to declare martial law before 2016 election. Our trusted insider, who cannot be named for their safety, confirmed this shocking revelation. The government has been working overtime to suppress this information. Share before it gets deleted! Independent researchers have long suspected this but were silenced by the establishment. The evidence is overwhelming yet the lamestream media refuses to report it. Wake up sheeple!",politics,2022-06-24
EXCLUSIVE: White House chef reveals president has dementia,An anonymous source with direct knowledge of the situation has confirmed that exclusive: white house chef reveals president has dementia. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,politics,2017-07-19
Secret tunnels under White House used for trafficking ring,Whistleblowers inside the agency have come forward to confirm that secret tunnels under white house used for trafficking ring. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,Government News,2022-01-17
Elon Musk's Neuralink is secretly harvesting human thoughts,BREAKING — A leaked document obtained by this publication proves that elon musk's neuralink is secretly harvesting human thoughts. Officials deny any knowledge of the situation but sources say otherwise. This is the story they don't want you to see. Thousands of accounts spreading this news are being shadow-banned. Do your own research. The truth is out there but you have to look beyond the mainstream narrative. Forward this to everyone you know before censorship takes this down.,left-news,2017-11-11
Covid-19 created in lab to usher in Great Reset admits Nobel scientist,Whistleblowers inside the agency have come forward to confirm that covid-19 created in lab to usher in great reset admits nobel scientist. The deep state operatives responsible for this crime are being protected at the highest levels of government. Patriotic citizens are urged to stand up and demand answers from their elected representatives. This is not a conspiracy theory — this is documented fact that they are hiding from the public. The truth will come out and when it does the globalists will have nowhere to run.,Government News,2020-09-10
Shadow government running secret operations beneath major airports,An anonymous source with direct knowledge of the situation has confirmed that shadow government running secret operations beneath major airports. The mainstream media cartel refuses to cover this bombshell story because they are complicit. Fact-checkers have already labeled this story as false — which is exactly what they do to hide truth. Real patriots already know the truth. The elite are running scared as this information goes viral. SHARE THIS NOW before Big Tech buries it! This is the information they are terrified of you knowing.,left-news,2020-09-05
